case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O07,earliest_abnormal,S06,datastore,db_cpu_utilization,down,medium,anchor-30m_to_anchor-20m,,S06 datastore db_cpu_utilization down medium
O07,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S06 datastore db_cpu_utilization
O07,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service cpu_usage
O07,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency cpu_usage
O07,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S04 application_service http_5xx_count
O07,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S03 storage_dependency cpu_usage
O08,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O08,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O08,earliest_abnormal,S04,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S04 application_service cpu_usage up medium
O08,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service cpu_usage
O08,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S06 datastore db_cpu_utilization
O08,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S01 application_service cpu_usage
O08,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S03 storage_dependency cpu_usage
O08,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S01 application_service latency_p95
O09,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O09,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O09,earliest_abnormal,S06,datastore,db_cpu_utilization,down,medium,anchor-30m_to_anchor-20m,,S06 datastore db_cpu_utilization down medium
O09,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S06 datastore db_cpu_utilization
O09,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service cpu_usage
O09,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency cpu_usage
O09,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S03 storage_dependency cpu_usage
O09,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service http_5xx_count
O10,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O10,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O10,earliest_abnormal,S01,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S01 application_service cpu_usage up medium
